Artikel	Nomen	Plural	Bedeutung_KO	Bedeutung_EN	Beispiel	Beispiel_Bedeutung
die	Sandale	Sandalen	샌들	sandal	Ich habe mir diesen Sommer neue Sandalen gekauft.	이번 여름에 새 샌들을 샀다.
die	Socke	Socken	양말	sock	Eine meiner Socken ist beim Waschen verloren gegangen.	세탁중에 내 양말 하나가 사라졌다
die	Unterhose	Unterhosen	팬티, 속옷, 속바지	underpants	Nach den seinerzeitigen Erkenntnissen ziehen rund 87 Prozent aller Deutschen täglich eine neue Unterhose an.	당시 조사 결과에 따르면 독일인의 약 87 %가 매일 새 팬티를 입는다.
die	Strumpfhose	Strumpfhosen	팬티 스타킹	tights	Es ist kalt, daher trage ich eine Strumpfhose unter meinem Rock.	너무 추워서 치마안에 스타킹을 입었다.
die	Bluse	Blusen	블라우스	blouse	Die Bluse knittert leicht, ich muss sie bügeln	이 블라우스는 조금 구겨졌다, 다림질을 해야해.
die	Jacke	Jacken	윗옷, 재킷	jacket, coat	Nimm dir eine Jacke mit, es ist kalt.	날씨가 추우니 겉옷을 껴입어.
die	Krawatte	Krawatten	넥타이	tie	 Zu diesem Anzug trage ich heute eine dunkelblaue Krawatte.	이 정장에는 암청색의 넥타이를 입는다.
die	Hose	Hosen	바지	pants, trousers	Die Hose steht dir sehr gut.	바지 너한테 잘어울려.
der	Mantel	Mäntel	외투, 코트	coat, mantle, cloak	Es regnet, ich ziehe meinen Mantel an.	비가온다, 나는 코트를 입었다.
der	Rock	Röcke	치마	skirt	Als Schülerin musste ich einen Rock tragen.	학생이었을때 나는 치마를 입어야 했었다.
der	Schal	Schals	숄, 스카프	scarf, shawl, muffler	Sie trug einen gestrickten Schal um ihren Hals.	그녀는 뜨개질한 목도리를 목에 둘렀다.
der	Slip	Slips	여성용 팬티	briefs, slip	Mein neuer Slip ist noch nicht trocken.	내 팬티는 아직 덜 말랐다.
der	Pullover	Pullover	스웨터, 니트	pullover, sweater	Alle Pullover mit Mängeln sind um die Hälfte reduziert.	하자가 있는 모든 스웨터는 반값입니다.
der	Stiefel	Stiefel	장화, 부츠	boot	Im Winter trägt man meistens Stiefel.	대부분 겨울에 부츠를 착용한다.
der	Strumpf	Strümpfe	양말, 스타킹	sock	ich habe ein Loch im Strumpf.	양말에 구멍이 났다.
der	Anzug	Anzüge	양복, 정장	suit	Er kaufte einen neuen Anzug für seine Hochzeit.	그는 그의 결혼식을 위해 새로운 정장을 샀다.
der	BH(Büstenhalter)	BHs	브래지어	bra, brassiere	Sie trug nur noch Slip und BH.	 그녀는 팬티와 브래지어만 입었다.
das	T-Shirt	T-Shirts	티셔츠	tee, t-shirt	Er trug Boxershorts und ein T-Shirt.	그는 사각팬티와 티셔츠를 입었다.
das	Kleid	Kleider	원피스, 드레스	dress, frock	Das Kleid sieht toll aus, gell?	저 드레스 멋지네요 그죠?
das	Hemd	Hemden	셔츠	shirt	Er hat immer Jeans und ein Hemd an.	그는 항상 청바지에 셔츠를 입는다.
die	Olive	Oliven	올리브, 올리브나무	olive	Ich muss die Oliven für den Salat entsteinen.	샐러드를 만들기 위해 올리블 씨를 빼야해
die	Limonade	Limonaden	소다, 사이다	lemonade, soft drink	Ich trinke gern einen Mix aus Limonade und Cola.	나는 콜라와 사이다를 섞어먹는 것을 즐긴다.
die	Pizzeria	Pizzerien	피자가게	pizzeria	Die herausgeputzte Innenstadt wird von Pizzerien und Trattorien dominiert.	큰 도심은 피자집과 간이 음식점들이 점령했다.
die	Pizza	Pizzas/Pizzen	피자	pizza	Am liebsten esse ich mit Salami belegte Pizza.	제일 좋아하는 음식은 살라미피자다.
die	Pflaume	Pflaumen	자두	plum	Ich esse gerne Pflaumen.	난 자두를 좋아해.
die	Rechnung	Rechnungen	청구서, 계산, 회계, (가게)영수증	account, invoice, bill	Können wir gleich die Rechnung haben?	지금 당장 청구서를 받을 수 있을까요?
die	Speisekarte	Speisekarten	메뉴, 식단	menu	Der Kellner kam mit der Speisekarte zu unserem Tisch.	점원이 메뉴판을 들고 식탁으로 왔다.
die	Vorspeise	Vorspeisen	전채요리, 에피타이저	appetizer	Als Vorspeise gibt es heute Tomatensuppe.	에피타이저로 오늘 토마토스프가 있습니다.
die	Bohne	Bohnen	콩	bean	Bohnen und Reis sind in vielen Ländern Grundnahrungsmittel.	콩과 쌀은 많은 나라에서 주식입니다.
die	Bestellung	Bestellungen	주문, 주문품	order, appointment, purchase order	Meine Bestellung wurde in einer Schachtel verschickt.	내가 주문한 상품이 배송되었습니다.
die	Bedienung	Bedienungen	접대, 서비스, 웨이터	service, operation, waiter	Die Bedienung war sehr gut, also habe ich dem Kellner ein Trinkgeld gegeben.	서비스가 정말 좋아서 나는 웨이터에게 팁을 주었다.
die	Kleinigkeit	Kleinigkeiten	작은것, 사소한것, 쉬운 일	detail, little thing, trifle	Das ist kein Problem, es ist nur eine Kleinigkeit.	문제없어, 사소한 일이야.
die	Hauptspeise	Hauptspeisen	메인요리	main course, main dish	Als Hauptspeise gibt es Schweinebraten mit Knödeln.	메인요리로는 돼지 불고기와 크뇌델이 있습니다.
die	Frucht	Früchte	열매, 과실	fruit	Ich mag keine sauren Früchte.	나는 맛이 신 열매를 싫어한다.
die	Kreditkarte	Kreditkarten	신용카드	credit card	Diese Kreditkarte lässt keine Abhebungen im Ausland zu.	이 신용카드는 해외인출이 불가능합니다.
der	Pfeffer	Pfeffer	후추	pepper	Der Pfeffer ist im Schrank neben dem Salz.	후추는 찬장 안에 소금옆에 있다.
der	Rotwein	Rotweine	포도주, 레드와인	red wine	Aus diesem Anlass wurde kein Bier, sondern französischer Rotwein getrunken.	이러한 이유때문에 맥주보단 프랑스산 레드와인을 마신다.
das	Restaurant	Restaurants	요리점, 음식점	Restaurant	Weißt du ein gutes Restaurant?	좋은 식당을 알고 있어?
das	Rind	Rinder	소, 소고기	beef	Ein Rind muht.	소가 음메하고 운다.
das	Trinkgeld	Trinkgelder	팁	tip	Er hat mir 1 Euro als Trinkgeld gegeben.	그는 나한테 1유로를 팁으로 줬다.
das	Kalb	Kälber	송아지, 송아지 고기	calf	Meine Kuh hat ein sehr hübsches Kalb geboren.	내 소는 아주 예쁜 송아지를 낳았다.
das	Getränk	Getränke	음료, 주류	drink, beverage	Es gibt in einem Getränkemarkt so ziemlich jede Art von Getränk.	음료 전문상점에는 거의 모든 종류의 음료가 있다.
das	Hähnchen	Hähnchen	닭, 수평아리, 통닭구이	chicken	Ich habe zugenommen, da ich in letzter Zeit oft hähnchen gegessen habe.	요즘 닭고기를 자주 먹어서 살이 쪘다.
das	Lamm	Lämmer	새끼 양	lamb	Das Lamm trinkt die Milch des Mutterschafs.	새끼양은 어미양의 젖을 먹습니다.
der	Schatz	Schätze	보물, 애인	treasure, love	Der Pirat versteckte den Schatz auf der Insel.	해적이 보물을 섬에 숨겼다.
die	Sorte	Sorten	종류, 품종	variety, type, species	Ich weiß nicht genau, welche Sorte Tee er mag.	나는 그가 어떤 차를 좋아하는지 잘 모른다.
die	Reise	Reisen	여행	travel, journey, trip	Ich packte meine Taschen für die lange Reise nach New York.	나는 뉴욕으로 장기간 여행을 가기 위해 가방을 쌌다.
die	Stadt	Städte	도시, 시, 시내	city, town	Viele Touristen besuchen jedes Jahr die Stadt.	많은 여행객들이 매년 이 도시를 방문한다.
die	Straße	Straßen	거리, 길, 도로	street, road	Diese Straße führt zur Fabrik.	이 길은 공장으로 향한다.
die	Autobahngebühr	Autobahngebühren	고속도로 통행료	toll	Auf dieser Route ist keine Autobahngebühr zu zahlen.	이 도로는 통행료가 없다.
die	Fahrt	Fahrten	여행, 드라이브, 주행	drive, ride, journey	Ich tanke immer vor einer langen Fahrt.	나느 항상 장거리 주행 전에 주유를 한다.
die	Grenze	Grenzen	경계, 국경, 끝, 가장자리	border, limit, boundary	Begierde hat keine Grenze.	욕심은 끝이 없다.
der	Präsident	Präsidenten	대통령, 장관	president, chairman	Die Soldaten defilieren vor dem Präsident. 	병사들이 대통령 앞에서 행진을 한다.
der	Nachbar	Nachbarn	이웃	neighbor	Unsere Nachbarn sind gestern fortgezogen.	우리 이웃이 어제 이사했다.
der	Park	Parks	공원	park	In parks, dogs must be on a lead.	공원에선, 개는 목줄을 해야 합니다.
der	Prospekt	Prospekte	개관도, 전경도, 전망	brochure, prospectus	Der Prospekt enthält weitere Informationen über das Projekt.	안내서에는 이 프로젝트에 대한 추가 정보가 들어있습니다.
der	Müll	-	쓰레기, 폐물	waste, rubbish, garbage, junk	Um Müll zu reduzieren, sollte jeder unnötige Verpackungen vermeiden.	쓰레기를 줄이기 위해, 모든 불필요한 포장을 피하십시오.
der	Teppich	Teppiche	양탄자, 태피쉬, 카펫	carpet, rug	Ich werde den neuen Teppich ins Wohnzimmer legen.	나는 거실에 새로운 카펫을 깔 예정이다.
der	Tanz	Tänze	춤, 무용	dance	Die Damen wählten ihre Partner aus, und der Tanz begann.	여성들이 파트너를 선택하고, 춤이 시작되었다.
der	Verkehr	Verkehre	교통, 통행, 왕래	traffic	Wegen des starken Verkehrs dauerte die Fahrt lange.	혼잡한 교통때문에 운전이 오래 걸렸다.
der	Stern	Sterne	별, 운명	star	Es gibt Billionen Sterne in dieser Galaxie.	이 우주에는 수조개의 별이 있다.
der	Tourist	Touristen	관광객, 여행객	tourist	Diese Stadt bietet viele Sehenswürdigkeiten für Touristen.	이 도시는 관광객들을 위한 많은 관광지를 제공합니다.
der	Ausflug	Ausflüge	소풍, 짧은 여행	trip, tour	Machen wir morgen einen Ausflug?	내일 우리 소풍갈까?
der	Brief	Briefe	편지, 문서	letter	Hast du den Brief, den ich dir geschrieben habe, schon geöffnet?	내가 너한테 썼었던 편지 열어봤니?
der	Berg	Berge	산, 산맥	mountain	Der Berg steht im Nebel.	산에 안개가 꼈다.
der	Ausweis	Ausweise	신분증, 증명서	statement, identification card	Hast du deinen Ausweis mit?	신분증 가지고 있니?
der	Fehler	Fehler	오류, 실수	error, fault, mistake	Ich kann keinen Fehler erkennen.	나는 실수를 발견하지 못했다.
der	Kunde	Kunden	손님, 관객	customer, client, account	Unser Unternehmen hat viele langjährige Kunden.	우리 회사는 장기고객들을 많이 가지고 있다.
das	Papier	Papiere	종이, 서류	paper	Dieses Papier eignet sich zum Ausdrucken von Fotos.	이 용지는 사진을 인쇄하기에 적합하다.
das	Paar	Paare	짝, 커플	couple, pair	Ein nettes junges Paar mit Kindern ist nebenan eingezogen.	젊고 착한 부부와 아이들이 옆집에 이사왔다.
das	Schild	Schilder	간판, 표지판, 문패	sign, label	Der Wanderer folgte den Schildern, um sein Ziel zu erreichen.	등산객은 목적지에 도착하기 위해 표지판을 따라 갔다.
das	Schwimmbad	Schwimmbäder	수영장	pool, swimming pool	Das Hotel hat zwei Schwimmbäder, eins drinnen und eins draußen.	이 호텔에는 두개의 수영장이있다, 하나는 내부에 하나는 외부에 있다.
das	Museum	Museen	박물관, 미술관	museum	Ich gehe ins Museum, um mir die Gemälde anzusehen.	그림을 보기 위해 미술관에 간다.
das	Parfum	Parfüms	향수, 방향	perfume	Dieses Parfüm ist mir zu aufdringlich.	이 향수는 나에게 너무 부담스럽다.
das	Pferd	Pferde	말	horse	Das Pferd ruht sich im Stall aus.	말은 마구간에서 쉬고있다.
das	Ohr	Ohren	귀	ear	Kannst du mir mal dein Ohr leihen?	내 말좀 들어볼래?
das	Telefon	Telefone	전화	telephone	Das Telefon war eine bahnbrechende Erfindung.	전화는 획기적인 발명품이었다.
das	Viertel	Viertel	4분의 1	quarter	Wir treffen uns um Viertel nach sechs.	우리는 6시 15분에 만난다.
das	Streichholz	Streichhölzer	성냥	match	Das Streichholz geht nicht an.	성냥에 불이 붙지 않는다.
das	Verbot	Verbote	금지, 금지령	prohibition, ban	Während der Bauarbeiten gilt ein Verbot für Außenstehende, die Baustelle zu betreten.	공사중에는 외부인은 출입이 금지됩니다.
das	Baby	Babys	아기, 어린아이	baby	Die Frau hielt ihr Baby in den Armen.	여자는 아기를 안고 있었다.
das	Beispiel	Beispiele	예시, 본보기	example, instance	Wir bieten viele Sportarten an, zum Beispiel Tennis.	우리는 테니스와 같은 많은 스포츠를 제공합니다.
das	Meer	Meere	바다	sea, ocean	Der Fluss fließt ins Meer.	강이 바다로 흐른다.
das	Klavier	Klaviere	피아노	piano	Sie schlug die Tasten des Klaviers sanft an.	그녀는 부드럽게 피아노 건반을 쳤습니다.
das	Geschäft	Geschäfte	상점, 사업, 거래	shop, business, transaction	Das Geschäft hat den ganzen Tag geöffnet.	그 상점은 하루종일 열었다.
das	Gewürz	Gewürze	양념, 조미료	spice, seasoning	Er benutzte eine besondere Kombination von Gewürzen in seinem berühmten Apfelkuchen.	그는 그의 유명한 애플파이에 양념의 특별한 조합을 사용했습니다.
das	Kino	Kinos	영화관	cinema	Das Kino ist ausverkauft.	그 영화는 매진이다.
das	Hobby	Hobbys	취미, 장기	hobby	Meine Hobbys sind Fotografieren und Lesen.	내 취미는 사진찍기와 책읽기다.
das	Land	Länder	육지, 시골, 국가, 주	country, state, nation	Sie wuchs auf dem Land auf, studierte aber in der Stadt.	그녀는 시골에서 자랐지만, 공부는 도시에서 했다.
das	Kamel	Kamele	낙타, 바보	camel, idiot	Er ritt auf einem Kamel durch die Wüste.	그는 낙타를 타고 사막을 지나갔다.
das	Feuer	Feuer	불, 화재, 발사	fire	Zum Glück konnten wir das Feuer schnell löschen.	다행히도 우리는 신속하게 화재를 진압할 수 있었다.
die	Sekretärin	Sekretärinnen	사무원, 여비서	secretary,  office assistant	Wir suchen eine tüchtige und zuverlässige Sekretärin.	우리는 유능하고 신뢰할 수 있는 비서를 찾고 있습니다.
die	Angestellte	Angestellten	사원, 종업원	employees, staff	Die Angestellten versammelten sich für die Besprechung.	직원들은 회의를 위해 모였다.
der	Rechtsanwalt	Rechtsanwälte	변호사	lawyer, attorney	Ich habe den Fall gewonnen, ich hatte einen guten Rechtsanwalt.	나는 그 소송을 이겼다, 나는 훌륭한 변호사가 있었다.
der	Bäcker	Bäcker	빵집 주인, 빵 제조업자	baker	Der Bäcker schüttete etwas Mehl in eine Schüssel.	빵 제조업자는 약간의 밀가루를 사발에 부었다.
der	Chef	Chefs	우두머리, 지배인	head, chief, boss	Sein Chef drängte ihn, schneller zu arbeiten.	그의 사장은 더 빨리 일하라고 그를 재촉했다.
die	Rezeption	Rezeptionen	대합실, 프론트, 수용	reception, front desk	Gäste können ihren Schlüssel an der Rezeption abholen.	손님들은 프론트에서 열쇠를 받아갈 수 있습니다.
die	Dusche	Duschen	샤워	shower	Vor dem Sprung ins Schwimmbecken, müssen sich alle Schwimmer unter die Dusche stellen.	수영장에 들어가기 전에, 모든 사람들은 샤워를 해야합니다.
die	Klimaanlage	Klimaanlagen	에어컨	air conditioner	Die Klimaanlage ist nicht in Ordnung.	에어컨이 고장났다.
der	Luxus	Luxus	사치, 호사	luxury	Den Luxus eines Spaziergangs kann ich mir momentan nicht leisten. Ich habe zu viel zu tun.	지금 나는 산책이라는 사치를 부릴 여유가 없다. 나는 할일이 많다.
der	Balkon	Balkone	발코니	balcony	Unser Balkon ist der Straße zugewandt.	발코니는 거리를 향하고 있다.
die	Sekunde	Sekunden	초, 순간	second	Es ging um Sekunden.	약 2초가 지났다.
die	Minute	Minuten	분	minute	Ich werde in fünf Minuten zurück sein.	5분안에 돌아올게
die	Stunde	Stunden	시간, 때	hour, time	Ich habe keine Stunde mehr frei.	나는 남는 시간이 더이상 없다.
der	Morgen, -	Morgen	아침, 오전	morning	Der Hahn kräht jeden Morgen.	수탉은 매일 아침 운다.
der	Mittag	Mittage	정오, 대낮, 오후	noon	Es ist fast Mittag, fünf vor zwölf.	거의 정오야, 11시 55분.
der	Nachmittag	Nachmittage	오후	afternoon	Hast du für heute nachmittag schon etwas vor?	너 오늘 오후에 무슨 약속 있니?
der	Montag	Montage	월요일	monday	Montag ist der erste Tag der Woche.	월요일은 한주의 첫째 날이다.
der	Abend	Abende	저녁, 밤	evening, night	Ich habe morgen Abend eine Verabredung.	나는 내일 밤 약속이 있어.
der	Dienstag	Dienstage	화요일	tuesday	Bitte reichen Sie Ihre Bewerbung bis Dienstag ein.	화요일까지 당신의 신청서를 제출 하세요.
der	Mittwoch	Mittwoche	수요일	wednesday	Diesen Mittwoch fällt der Tanzkurs aus.	이번주 수요일에는 댄스 수업이 취소되었다.
der	Donnerstag	Donnerstage	목요일	thursday	Am Donnerstag bin ich frei.	목요일에 나는 한가하다.
der	Freitag	Freitage	금요일	friday	Ich arbeite normalerweise von Montag bis Freitag.	나는 보통 월요일에서 금요일까지 일한다.
der	Samstag	Samstage	토요일	saturday	Wie jeden Samstag schaut er auch heute die Sportschau.	매주 토요일처럼 그는 오늘도 스포츠 경기를 관람한다.
der	Sonntag	Sonntage	일요일	sunday	Der Termin steht auf Sonntag an.	약속은 일요일로 확정되었다.
der	Januar	Januare	1월	january	Januar ist der erste Monat des Jahres.	1월은 1년의 첫 번째 달이다.
der	Februar	Februare	2월	february	Dieses Jahr war der Februar außergewöhnlich warm.	올해 2월은 굉장히 따뜻했다.
der	März	Märze	3월	march	Das dauert den ganzen März durch.	그것은 3월 한달 내내 계속된다.
der	April	Aprile	4월	april	Das Freibad ist von April bis September geöffnet.	야외 수영장은 4월부터 9월까지 운영됩니다.
der	Mai	Maie	5월	may	Die Hochzeit wird entweder im Mai oder im Juni stattfinden.	결혼식은 5월이나 6월중에 열립니다.
der	Juni	Junis	6월	june	Er verreiste am Montag, dem 3. Juni.	그는 6월3일 월요일에 여행을 떠났다.
der	Juli	Julis	7월	july	Nächstes Jahr, nämlich im Juli mache ich eine Reise um die Welt.	내년, 즉 7월에 나는 세계여행을 한다.
der	August	Auguste	8월	august	Mein Geburtstag ist im August.	내 생일은 8월이다.
der	September	September	9월	september	September ist der Monat zwischen August und Oktober.	9월은 8월과 10월 사이에 있는 달이다.
der	Oktober	Oktober	10월	october	Die Wohnung muss zum 4. Oktober gekündigt werden.	그 집은 10월 4일까지 비워주어야 한다
der	November	November	11월	november	Es war wichtig, die Produkteinführung für November zu timen.	11월로 출시일을 정한것은 중요했습니다.
der	Dezember	Dezember	12월	december	Das Museum ist das ganze Jahr über offen, außer im Dezember.	이 박물관은 12월을 제외하고 1년 내내 개장합니다.
der	Frühling	Frühlinge	봄, 청춘	spring	Der Winter ist vorbei, der Frühling kommt.	겨울이 끝나고 봄이 왔다.
der	Sommer	Sommer	여름	summer	Im Sommer baden wir im See.	여름에 우리는 바다에서 수영을 한다.
der	Herbst	Herbste	가을	autumn, fall	Die Bäume verlieren ihre Blätter im Herbst.	나무들은 가을에 잎이 떨어진다.
der	Winter	Winter	겨울	winter	Der Winter ist die kälteste Jahreszeit.	겨울은 가장 추운 계절이다.
das	Wochenende	Wochenenden	주말	weekend	Die ganze Woche über freue ich mich auf das Wochenende.	일주일 내내 나는 주말을 기대했다.
die	Nummer	Nummern	숫자, 번호	number	Gib mir mal deine Nummer	니 번호좀 알려줘.
die	Spezialität	Spezialitäten	명물, 특색, 유명한 음식	specialty	Kuckucksuhren sind die Spezialität des Schwarzwaldes.	뻐꾹시계는 슈바르츠발트의 명물이다.
die	Brille	Brillen	안경	glasses	Es ist nicht bekannt, wer die erste Brille herstellte.	누가 처음으로 안경을 만들 었는지는 알려져 있지 않습니다.
die	Dauer	Dauern	기간, 오랜기간, 존속	duration, period, term	Die Dauer der Tests wird zwei Wochen nicht überschreiten.	테스트 기간은 2주가 안걸릴 것입니다.
die	Ecke	Ecken	귀퉁이, 모서리, 가장자리, 각(수학)	corner	In einer Ecke des Wohnzimmers steht eine große Pflanze.	거실 한 구석에는 큰 식물이 있습니다.
die	Demokratie	Demokratien	민주주의	democracy	Vor der Demokratie regierten Könige und Königinnen dieses Land.	민주주의 이전에는 왕과 왕비가 이 땅을 다스렸다.
die	Kirche	Kirchen	교회, 예배	church	Jeden Sonntag findet in der Kirche ein Gottesdienst statt.	매주 일요일에 교회에서 예배가 있습니다.
die	Freizeit	Freizeiten	휴가, 여가시간	leisure, free time, time off	in meiner Freizeit gehe ich viel spazieren	나는 여가 동안에 산책을 많이 한다.
die	Führung	Führungen	인도, 안내	management, lead, guidance	Die erfahrensten Wanderer übernehmen normalerweise die Führung.	가장 경험이 많은 등산객이 주로 선두입니다.
die	Gruppe	Gruppen	그룹, 조, 반	group, team	Unsere Gruppe gewann den ersten Preis.	우리 그룹이 1등상을 받았다.
der	Schauspieler	Schauspieler	배우	actor, performer	Die Auswahl der Schauspieler für diesen Film war großartig.	이 영화의 출연배우들은 훌륭했다.
der	Politiker	Politiker	정치인	politician	Ein ehrlicher Politiker würde seine Macht nie missbrauchen.	정직한 정치인은 결코 그의 권력을 남용하지 않을 것입니다.
der	Meter	Meter	미터	meter	Distanz wird oft in Metern gemessen.	거리는 종종 미터단위로 측정됩니다.
der	Spaß	Späße	농담, 재미, 장난	fun, laugh	Viel Spaß auf der Party!	파티에서 재밌게 놀아!
der	Wald	Wälder	숲, 수풀, 밀집한 것	forest, wood	In diesem Wald gibt es viele verschiedene Bäume.	이 숲에는 다양한 종류의 나무들이 있다.
der	Weinberg	Weinberge	포도원, 포도밭	vineyard	Trauben wachsen auf dem Weinberg.	포도는 포도밭에서 자란다.
der	Besucher	Besucher	방문객, 손님, 참가자	visitor	Alle Besucher melden sich am Empfang an.	모든 방문객은 리셉션에 등록합니다.
der	Baum	Bäume	나무, 수목	tree	Um das Haus stehen viele Bäume.	집 주변에는 많은 나무들이 있습니다.
der	Dichter	Dichter	시인, 작가	poet, writer	Die Stadt baute ein Denkmal für den berühmten Dichter.	도시는 유명한 시인을 위한 기념비를 세웠습니다.
der	Eintritt	Eintritte	입장, 개시	entrance, entry, admission	Für Kinder ist der Eintritt in das Museum kostenlos.	어린이들은 박물관 입장이 무료입니다.
der	Anfang	Anfänge	처음, 시작	beginning	Am Anfang des Projekts hatten wir nur einen groben Plan.	프로젝트 초기에 우리는 대략적인 계획만 있었다.
der	Fluss	Flüsse	강, 하천, 추이, 흐름	river, flow, stream	Ich bin durch den Fluss geschwommen.	나는 강을 가로질러 수영했다.
der	Helm	Helme	투구, 헬멧, 원뿔형 지붕	helmet	Beim Motorradfahren muss man immer einen Helm tragen.	오토바이를 탈 때는 항상 헬멧을 착용해야합니다.
der	Garten	Gärten	뜰, 정원	garden, yard	Hinter unserem Haus ist ein Garten.	우리 집 뒤에는 정원이 있습니다.
das	Souvenir	Souvenirs	기념품	souvenir	Am letzten Tag unserer Reise kauften wir Souvenirs.	우리는 여행 마지막날에 기념품을 샀다.
das	Ticket	Tickets	탑승권, 입장권	ticket	Hier kann man das Ticket entwerten.	여기에서 티켓을 확인할 수 있습니다.
das	Symbol	Symbole	상징, 기호	symbol, icon	Das Symbol für Frieden ist eine weiße Taube.	평화의 상징은 흰색 비둘기입니다.
das	Ende	Enden	끝, 결말, 첨단	end, ending	Die böse Hexe verliert am Ende.	사악한 마녀는 결국 죽는다.
das	Ausland	-	외국	aboard	Wir wollen unsere Geschäftstätigkeit auf das Ausland ausweiten.	우리는 사업 활동을 해외로 확대하고자합니다.
das	Geschenk	Geschenke	선물, 기부, 하사품	gift, present	Ich habe ein Geschenk für den Geburtstag meiner Schwester gekauft.	나는 여동생의 생일 선물을 샀다.
die	Verspätung	Verspätungen	늦음, 지각	delay	Der Zug hat eine Stunde Verspätung.	기차가 한시간 늦었습니다.
die	Abfahrt	Abfahrten	출발, 서거	departure	Ich habe die Fahrkarte kurz vor der Abfahrt gekauft.	나는 출발하기 직전에 티켓을 샀다.
die	Ankunft	Ankünfte	도착, 탄생	arrival	Bei meiner Ankunft zeigte mir der Hotelmanager mein Zimmer.	내가 도착했을 때 호텔매니저가 내 방을 보여줬다.
die	Durchsage	Durchsagen	전달, 보도	announcement	Die Durchsage machte mich darauf aufmerksam, dass der Zug Verspätung hatte.	그 방송은 나에게 기차가 늦었다는 것을 알려주었다.
die	Fahrkarte	Fahrkarten	승차권, 차표	ticket	Wir haben unsere Fahrkarten am Schalter gekauft.	우리는 차표를 개찰구에서 샀다.
der	Bahnsteig	Bahnsteige	플랫폼	platform	Mein Zug wird in Kürze vom Bahnsteig abfahren.	기차는 곧 플랫폼을 떠날 것입니다.
der	Bahnhof	Bahnhöfe	정거장, 기차역	station	Am nächsten Bahnhof muss ich aus dem Zug aussteigen.	다음 기차역에서 나는 내려야 한다.
der	Hauptbahnhof	Hauptbahnhöfe	중앙역	central station	Der Zug kommt um 16.00 Uhr am Hauptbahnhof an.	기차는 16시에 중앙역에 도착합니다.
die	Metzgerei	Metzgereien	정육점	butcher shop	Fleisch und Wurst kauft man am besten in der Metzgerei.	고기와 소시지는 정육점에서 가장 잘 팔립니다.
die	Bank	banken	은행	bank	Ich ging zur Bank, um ein Depot zu eröffnen.	나는 예금을 열기위해 은행에 갔었다.
die	Bücherei	Büchereien	(소규모의) 도서관	library, bookstore	Krankenhäuser, Schulen und Büchereien sind öffentliche Einrichtungen.	병원, 학교 및 도서관은 공공 기관입니다.
die	Kneipe	Kneipen	술집, 음식점	pub, bar	Wir treffen uns in der Kneipe und trinken Bier.	우리는 술집에서 만나고 맥주를 마신다.
die	Halle	Hallen	홀, 로비, 회관	hall, lobby	Die Veranstaltung findet in der großen Halle im ersten Stock statt.	그 행사는 1층의 대형 홀에서 진행됩니다.
der	Stadtteil	Stadtteile	(도시의) 구역, 지역	district	Ich wohne in einem sehr ruhigen Stadtteil von Amsterdam.	나는 암스테르담의 아주 조용한 지역에 살고 있습니다.
der	Wolkenkratzer	die Wolkenkratzer	마천루, 고층 건물	skyscraper	Die Stadt ist für ihre Wolkenkratzer berühmt.	이 도시는 고층 건물로 유명하다.
der	Treffpunkt	Treffpunkte	집합 장소, 약속 장소	meeting place, venue	Das Einkaufszentrum ist ein beliebter Treffpunkt für junge Menschen.	쇼핑 센터는 젊은 사람들에게 인기있는 만남의 장소입니다.
der	Zoo	Zoos	동물원	zoo	Zoos versuchen, einige Arten durch Fortpflanzung in Gefangenschaft zu retten.	동물원은 번식을 통해 종을 늘리려 노력하고 있습니다.
der	Buchladen	Buchläden	책방, 서점	bookshop	Auf der einen Seite der Straße ist eine ununterbrochene Reihe von Buchläden.	그 거리의 한쪽은 책방이 쭉 늘어서있다.
der	Blumenladen	Blumenläden	꽃집	flower shop	Sehen Sie, was ich aus dem Blumenladen mitgebracht habe.	이거봐, 내가 꽃집에서 뭘 가져왔는지.
der	Bus	Busse	버스	bus	Der Bus fährt jede Stunde.	버스는 1시간마다 출발합니다.
das	Oktoberfest	Oktoberfeste	10월제, 뮌헨 10월 대축제	Oktoberfest, Munich beer festival	Am Wochenende besuchen sehr viele Menschen das Oktoberfest.	주말에는 많은 사람들이 옥토버 페스트를 방문합니다.
das	Rathaus	Rathäuser	시청, 시청 청사	city hall, town hall	Das Rathaus und die Kirche können Sie im Zentrum der Stadt finden.	도시 중심부에 시청과 교회가 있습니다.
die	Schlange	Schlangen	뱀, 긴 행렬, 간사한 사람	snake, line	Viele Schlangen sind giftig, aber nicht alle.	많은 뱀들이 독성이지만 전부는 아니다.
die	Giraffe	Giraffen	기린	giraffe	Ich sah eine Giraffe im Zoo.	나는 동물원에서 기린을 봤다.
der	Löwe	Löwen	사자, 용맹한 사람	lion	Der Löwe ist ein Symbol der Macht.	사자는 권력의 상징입니다.
der	Affe	Affen	원숭이	monkey	Der wendige kleine Affe kletterte mühelos den Baum hinauf.	민첩한 작은 원숭이가 자연스럽게 나무 위로 올라갔습니다.
der	Bär	Bären	곰	bear	Wölfe und Bären leben in der Wildnis.	늑대와 곰은 야생에서 산다.
der	Elefant	Elefanten	코끼리	elephant	bitte, zeichne mir mal einen Elefanten vor!	코끼리 한 마리 좀 그려줘!
